distance,T
1.36448,714.249
1.3662,713.813
1.36793,713.377
1.36965,712.941
1.37138,712.505
1.3731,712.068
1.37483,711.629
1.37655,711.19
1.37828,710.751
1.38,710.312
1.38173,709.873
1.38345,709.431
1.38517,708.985
1.3869,708.54
1.38863,708.094
1.39035,707.649
1.39208,707.203
1.3938,706.758
1.39552,706.312
1.39725,705.867
1.39898,705.421
1.4007,704.975
1.40243,704.53
1.40415,704.076
1.40587,703.621
1.4076,703.167
1.40933,702.712
1.41105,702.257
1.41278,701.801
1.4145,701.322
1.41622,700.842
1.41795,700.362
1.41967,699.882
1.4214,699.403
1.42313,698.922
1.42485,698.438
1.42657,697.953
1.4283,697.469
1.43002,696.985
1.43175,696.5
1.43348,696.014
1.4352,695.525
1.43693,695.036
1.43865,694.547
1.44038,694.058
1.4421,693.569
1.44383,693.067
1.44555,692.556
1.44728,692.045
1.449,691.534
1.45073,691.023
1.45245,690.512
1.45417,689.974
1.4559,689.424
1.45763,688.874
1.45935,688.324
1.46108,687.774
1.4628,687.225
1.46452,686.679
1.46625,686.134
1.46798,685.59
1.4697,685.045
1.47143,684.5
1.47315,683.955
1.47487,683.391
1.4766,682.827
1.47833,682.263
1.48005,681.699
1.48178,681.135
1.4835,680.567
1.48522,679.976
1.48695,679.385
1.48867,678.794
1.4904,678.203
1.49213,677.612
1.49385,677.043
1.49558,676.52
1.4973,675.997
1.49902,675.474
1.50075,674.951
1.50248,674.427
1.5042,673.911
1.50593,673.399
1.50765,672.886
1.50937,672.373
1.5111,671.861
1.51283,671.349
1.51455,670.875
1.51628,670.401
1.518,669.927
1.51973,669.453
1.52145,668.979
1.52318,668.538
1.5249,668.173
1.52663,667.808
1.52835,667.443
1.53008,667.077
1.5318,666.712
1.53352,666.377
1.53525,666.075
1.53698,665.773
1.5387,665.47
1.54043,665.168
1.54215,664.866
1.54387,664.586
1.5456,664.32
1.54733,664.053
1.54905,663.786
1.55078,663.52
1.5525,663.253
1.55422,663.009
1.55595,662.769
1.55768,662.529
1.5594,662.289
1.56113,662.049
1.56285,661.811
1.56457,661.593
1.5663,661.376
1.56802,661.158
1.56975,660.941
1.57148,660.723
1.5732,660.512
1.57493,660.311
1.57665,660.111
1.57837,659.911
1.5801,659.711
1.58183,659.511
1.58355,659.318
1.58528,659.129
1.587,658.941
1.58872,658.753
1.59045,658.564
1.59218,658.376
1.5939,658.195
1.59563,658.015
1.59735,657.836
1.59908,657.656
1.6008,657.477
1.60252,657.297
1.60425,657.124
1.60598,656.951
1.6077,656.778
1.60943,656.604
1.61115,656.431
1.61287,656.259
1.6146,656.089
1.61633,655.92
1.61805,655.75
1.61978,655.581
1.6215,655.411
1.62322,655.243
1.62495,655.077
1.62668,654.912
1.6284,654.746
1.63013,654.58
1.63185,654.414
1.63357,654.248
1.6353,654.083
1.63702,653.917
1.63875,653.751
1.64048,653.585
1.6422,653.419
1.64393,653.256
1.64565,653.093
1.64737,652.931
1.6491,652.769
1.65083,652.606
1.65255,652.444
1.65428,652.278
1.656,652.112
1.65772,651.946
1.65945,651.78
1.66118,651.614
1.6629,651.45
1.66463,651.29
1.66635,651.13
1.66807,650.97
1.6698,650.811
1.67153,650.651
1.67325,650.488
1.67498,650.319
1.6767,650.15
